Marca,Modelo,Variante,Descripcion,Sinonimo
DONGFENG,MINI,BUS/VAN/TRUCK,BASE METELICA DE AMORTIGUADOR,"base metalica de amortiguador, copa metalica"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE PATIN INFERIOR DERECHA (20230115R),"soporte de patin de puerta, base de patin"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE PATIN INFERIOR IZQUIERDA (20230115L),"soporte de patin de puerta, base de patin"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE PATIN PUERTA MEDIA DERECHA,"soporte de patin de puerta, base de patin"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE PATIN PUERTA MEDIA IZQUIERDA,"soporte de patin de puerta, base de patin"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE PATIN SUPERIOR PUERTA DERECHA (202350),"soporte de patin de puerta, base de patin"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE PATIN SUPERIOR PUERTA IZQUIERDA (201801),"soporte de patin de puerta, base de patin"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE TRASERA DE CAJA,"soporte trasero de motor, base trasera de motor"
DONGFENG,MINI,BUS/VAN/TRUCK,BOBINA DE ENCENDIDO,"bobina de encendido, coil"
DONGFENG,MINI,BUS/VAN/TRUCK,BOMBA DE ACEITE,bomba de aceite del motor
DONGFENG,MINI,BUS/VAN/TRUCK,BOMBA DE AGUA,"bomba de agua, bomba del radiador"
DONGFENG,MINI,BUS/VAN/TRUCK,BOMBA DE FRENO,"bomba de freno, cilindro maestro de freno"
DONGFENG,MINI,BUS/VAN/TRUCK,BOMBA DE GASOLINA,"bomba de gasolina, bomba de combustible"
DONGFENG,MINI,BUS/VAN/TRUCK,BRAZO DE BIELA,"brazo de suspension, brazo axial, biela"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJE BARRA ESTABILZADORA,"bujes, buches, goma de suspension, silentblock"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJE DE BALLESTAS PEQ GRAD 8 UND,"bujes, buches, goma de suspension, silentblock"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJE DE BASE DE CAJA TRASERO,"bujes, buches, goma de suspension, silentblock"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJE DE BASE DE MOTOR DERECHA E IZQUIERDA,"bujes, buches, goma de suspension, silentblock"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJE DE EMPUJE DELENTERO,"bujes, buches, goma de suspension, silentblock"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJES DE BALLESTA  TRASERO (4UND),"buje, buches, gomas de suspension, silentblocks"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJIAS NGK (4 UNIDADES),"bujia, candelas, candela"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJIAS NGK (4 UNIDADES) (APLICA A LA C35),"bujia, candelas, candela"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJIAS DENSO CAJA AMARILLA (4 UND PUNTA IRIDIUM ),"bujia, candelas, candela"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJIAS DENSO CAJA AZUL (4 UND PUNTA IRIDIUM),"bujia, candelas, candela"
DONGFENG,MINI,BUS/VAN/TRUCK,BUJIAS TORCH 3 PUNTAS (4 UNIDADES),"bujia, candelas, candela"
DONGFENG,MINI,BUS/VAN/TRUCK,CABLES DE BUJAS,"cables de bujia, cableado de encendido"
DONGFENG,MINI,BUS/VAN/TRUCK,CARDAN 2201100-01,"eje cardan, flecha cardan, homocinetica larga"
DONGFENG,MINI,BUS/VAN/TRUCK,CAÑA DE DIRECCION DE VOLANTE INFERIOR,"caña de direccion, columna de direccion"
DONGFENG,MINI,BUS/VAN/TRUCK,CAÑA DE DIRECCION DE VOLANTE SUPERIOR,"caña de direccion, columna de direccion"
DONGFENG,MINI,BUS/VAN/TRUCK,CAJA COMPLETA,"caja de velocidades completa, transmision completa"
DONGFENG,MINI,BUS/VAN/TRUCK,CAJETIN DE DIRECCION,"caja de direccion, cremallera de direccion"
DONGFENG,MINI,BUS/VAN/TRUCK,CALIPER DERECHO,"mordaza de freno, caliper de freno"
DONGFENG,MINI,BUS/VAN/TRUCK,CALIPER IZQUIERDO,"mordaza de freno, caliper de freno"
DONGFENG,MINI,BUS/VAN/TRUCK,CAMARA COMPLETA,"camara de aire, tripa"
DONGFENG,MINI,BUS/VAN/TRUCK,CAMARA DESNUDA,"camara de aire, tripa"
DONGFENG,MINI,BUS/VAN/TRUCK,CARCASA AIRE DE MOTOR,"carcaza, cubierta"
DONGFENG,MINI,BUS/VAN/TRUCK,CARTER DE MOTOR,"carter de motor, colador de aceite, bandeja de aceite"
DONGFENG,MINI,BUS/VAN/TRUCK,CERRADURA DE GUANTERA,"chapa, seguro"
DONGFENG,MINI,BUS/VAN/TRUCK,CIGÜEÑAL,"ciguenal, eje cigueñal, crankshaft"
DONGFENG,MINI,BUS/VAN/TRUCK,CILINDRO DE FRENO LH,cilindro de freno
DONGFENG,MINI,BUS/VAN/TRUCK,CILINDRO DE FRENO RH,cilindro de freno
DONGFENG,MINI,BUS/VAN/TRUCK,COCUYO DE GUARDAFANGO,"luz lateral, cocuyo de guardafango, marker light"
DONGFENG,MINI,BUS/VAN/TRUCK,COLLARIN,"rodamiento de embrague, collarin de clutch"
DONGFENG,MINI,BUS/VAN/TRUCK,COMPRESOR AIRE/AC,"compresor de aire acondicionado, compresor ac"
DONGFENG,MINI,BUS/VAN/TRUCK,COMPUTADORA MINI BUS VAN,"computdora, ecu, modulo de control, cerebro del carro"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BANCADA 075,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BANCADA 010,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BANCADA 020,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BANCADA STD,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BIELA 075,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BIELA 010,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BIELA 020,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONCHAS DE BIELA STD,"concha, cojinetes, metales de bancada, metales de biela"
DONGFENG,MINI,BUS/VAN/TRUCK,CONJUNTO DE VALVULA BOMBA DE FRENO,conjunto de valvula de bomba de freno
DONGFENG,MINI,BUS/VAN/TRUCK,CONMUTADOR DE LUCES,"comutador, switch de luces, interruptor de luces"
DONGFENG,MINI,BUS/VAN/TRUCK,CONTROL ELEVA VIDRIO LH BEIS,"control eleva vidrio, motor de vidrio"
DONGFENG,MINI,BUS/VAN/TRUCK,CONTROL ELEVA VIDRIO LH NEGRO,"control eleva vidrio, motor de vidrio"
DONGFENG,MINI,BUS/VAN/TRUCK,CONTROL ELEVA VIDRIO RH BEIS,"control eleva vidrio, motor de vidrio"
DONGFENG,MINI,BUS/VAN/TRUCK,CONTROL ELEVA VIDRIO RH NEGRO,"control eleva vidrio, motor de vidrio"
DONGFENG,MINI,BUS/VAN/TRUCK,CONTROL ELEVAVIDRIO DERECHO 2013,"control eleva vidrio, motor de vidrio, vidrio electrico"
DONGFENG,MINI,BUS/VAN/TRUCK,CONTROL ELEVAVIDRIO IZQUIERDO 2013,"control eleva vidrio, motor de vidrio, vidrio electrico"
DONGFENG,MINI,BUS/VAN/TRUCK,COPA DE BASE DE AMORTIGUADOR,copa de base de amortiguador
DONGFENG,MINI,BUS/VAN/TRUCK,CORREA ALTERNADOR 4PK780,"correo, banda, faja"
DONGFENG,MINI,BUS/VAN/TRUCK,CORREA ALTERNADOR 4PK790,"correo, banda, faja"
DONGFENG,MINI,BUS/VAN/TRUCK,CORREA ALTERNADOR 4PK800,"correo, banda, faja"
DONGFENG,MINI,BUS/VAN/TRUCK,CORREA DE TIEMPO,"correo, banda, faja"
DONGFENG,MINI,BUS/VAN/TRUCK,CORREA DE TIEMPO DOBLE COSTURA,"correo, banda, faja"
DONGFENG,MINI,BUS/VAN/TRUCK,CORREA DEL COMPRESOR AV*820,"correo, banda, faja"
DONGFENG,MINI,BUS/VAN/TRUCK,CRUCETA 25*64   (APLICA C-37),"cruceta cardan, universal joint"
DONGFENG,MINI,BUS/VAN/TRUCK,CUERPO DE ACELERACION,"cuerpo de aceleracion, guerpo de aceleracion, throttle body"
DONGFENG,MINI,BUS/VAN/TRUCK,DAMPER DE CIGÜEÑAL,"dampe, polea amortiguadora, polea cigueñal"
DONGFENG,MINI,BUS/VAN/TRUCK,DEPOSITO REFRIGERANTE,"envase de refrigerante, tanque de refrigerante"
DONGFENG,MINI,BUS/VAN/TRUCK,DISCO DE CROCHET,disco de freno
DONGFENG,MINI,BUS/VAN/TRUCK,DISCO DE FRENO,disco de freno
DONGFENG,MINI,BUS/VAN/TRUCK,ELECTRO VENTILADOR DE RADIADOR,"electroventilador, ventilador electrico"
DONGFENG,MINI,BUS/VAN/TRUCK,EMPACADURA DE CAMARA,"empacadula, junta de motor, empaque"
DONGFENG,MINI,BUS/VAN/TRUCK,EMPACADURA DE TAPA VALVULA,"empacadula, junta de motor, empaque"
DONGFENG,MINI,BUS/VAN/TRUCK,ENGRANAJE DE TIEMPO,"engranajes, piñon, corona"
DONGFENG,MINI,BUS/VAN/TRUCK,ENVASE DE AGUA CON MOTOR LIMPIA PARABRISA,"deposito de agua, tanque de agua"
DONGFENG,MINI,BUS/VAN/TRUCK,ESTOPERA DE CIGÜEÑAL DELANTERA,"estopela, reten, sello de aceite"
DONGFENG,MINI,BUS/VAN/TRUCK,ESTOPERA DE LEVA,"estopela, reten, sello de aceite"
DONGFENG,MINI,BUS/VAN/TRUCK,ESTOPERA TRASERA DE CIGÜEÑAL,"estopela, reten, sello de aceite"
DONGFENG,MINI,BUS/VAN/TRUCK,FARO ANTINIEBLA 2013 DERECHO,"luz delantera, optico"
DONGFENG,MINI,BUS/VAN/TRUCK,FARO ANTINIEBLA 2013 IZQUIERDO,"luz delantera, optico"
DONGFENG,MINI,BUS/VAN/TRUCK,FARO DELANTERO DERECHO FONDO NEGRO,"luz delantera, optico"
DONGFENG,MINI,BUS/VAN/TRUCK,FARO DELANTERO IZQUIERDO FONDO NEGRO,"luz delantera, optico"
DONGFENG,MINI,BUS/VAN/TRUCK,FILTRO DE ACEITE,"fitro, filtro de aceite, filtro de aire, filtro de gasolina"
DONGFENG,MINI,BUS/VAN/TRUCK,FILTRO DE AIRE MOTOR,"fitro, filtro de aceite, filtro de aire, filtro de gasolina"
DONGFENG,MINI,BUS/VAN/TRUCK,FILTRO DE GASOLINA,"fitro, filtro de aceite, filtro de aire, filtro de gasolina"
DONGFENG,MINI,BUS/VAN/TRUCK,FLOTANTE DE GASOLINA,"flotatante, sensor de nivel, boya de gasolina"
DONGFENG,MINI,BUS/VAN/TRUCK,GOMA GUARDAPOLVO DE CAÑA DE DIRECCION,"gomas, buje, empaque de goma"
DONGFENG,MINI,BUS/VAN/TRUCK,GOMA DE AMORTIGUADOR,"gomas, buje, empaque de goma"
DONGFENG,MINI,BUS/VAN/TRUCK,GORROS DE VALVULAS,"tapas de ruedas, gorros de rueda"
DONGFENG,MINI,BUS/VAN/TRUCK,GRUPO DIFERENCIAL RELACION 43X11,"diferencial completo, grupo diferencial"
DONGFENG,MINI,BUS/VAN/TRUCK,GUARDAPOLVO DE AMORTIGUADOR,"guada, guadarpolvo, guarda, fuelle"
DONGFENG,MINI,TODAS LAS MARCAS,GUARDAPOLVO DE ROTULA,"guada, guadarpolvo, guarda, fuelle"
DONGFENG,MINI,BUS/VAN/TRUCK,GUAYA DE ACELERACION,"cable del acelerador, guaya del acelerador"
DONGFENG,MINI,BUS/VAN/TRUCK,GUAYA DE CROCHET,"cable de embrague, guaya de clutch"
DONGFENG,MINI,BUS/VAN/TRUCK,GUAYA DE VELOCIDAD DELENTARA PUNTA PLATEADA,"cable de velocidad, guaya de cambios"
DONGFENG,MINI,BUS/VAN/TRUCK,GUAYA DE VELOCIDAD TRASERA PUNTA AMARILLA,"cable de velocidad, guaya de cambios"
DONGFENG,MINI,BUS/VAN/TRUCK,GUAYA SELECTORA DE CAMBIO,"cable selector de caja, guaya de caja"
DONGFENG,MINI,BUS/VAN/TRUCK,GUIA DE VALVULAS 16PIEZAS,guias de valvula del motor
DONGFENG,MINI,BUS/VAN/TRUCK,INYECTOR DE GASOLINA,"inyetor, inyector de gasolina, boquilla"
DONGFENG,MINI,BUS/VAN/TRUCK,KIT BASE DE AMORTIGUADOR 9 PIEZAS,kit de base de amortiguador
DONGFENG,MINI,BUS/VAN/TRUCK,KIT CHUPON DE BOBINA,"kit de chupon, kit de soporte de goma"
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE BALANCIN 8PIEZAS Y MARTILLOS 8PIEZAS,kit de balancines o martillos de valvula
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE COMPONESTES PARA ARMAR CAMARA (88 PIEZAS),kit de componentes
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE CROCHET,"kit de embrague, kit de clutch"
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE EMPACADURA,kit de empacadura de motor con estopera
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE PUNTA DE EJE TRASERA,kit de puntas de direccion
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE TIEMPO ORIGINAL,kit de tiempo o distribucion
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE TIEMPO CORREA Y TENSOR,kit de tiempo o distribucion
DONGFENG,MINI,BUS/VAN/TRUCK,KIT DE REPARACION DE FRENO BANDAS TRASERA,kit de reparacion
DONGFENG,MINI,BUS/VAN/TRUCK,LAPIZ DELANTERO,"sensor lapiz, sonda"
DONGFENG,MINI,BUS/VAN/TRUCK,LOGO DE COMPUERTA TRASERA,"emblema de compuerta, insignia de maletero"
DONGFENG,MINI,BUS/VAN/TRUCK,MANGERA SALIDA DE MOTOR,manguera de salida
DONGFENG,MINI,BUS/VAN/TRUCK,MANGUERA ENTRADA DE MOTOR,manguera de entrada
DONGFENG,MINI,BUS/VAN/TRUCK,MANGERA SALIDA DE RADIADOR,manguera de salida
DONGFENG,MINI,BUS/VAN/TRUCK,MANGUERA ENTRADA DE RADIADOR,manguera de entrada
DONGFENG,MINI,BUS/VAN/TRUCK,MANGUERA CALEFACCION ENTRADA MOTOR,manguera de calefaccion
DONGFENG,MINI,BUS/VAN/TRUCK,MANGUERA DE AIRE DE MOTOR,"manguera de aire, manguera de admision"
DONGFENG,MINI,BUS/VAN/TRUCK,MANGUERA DE CALEFACCION ENTRA,manguera de calefaccion
DONGFENG,MINI,BUS/VAN/TRUCK,MANGUERA DE CALEFACCION SALIDA,manguera de calefaccion
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA ELEVA VIDRIO PUERTA MEDIA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA EXTERNA PUERTA DELANTERA DERECHA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA EXTERNA PUERTA DELANTERA IZQUIERDA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA EXTERNA PUERTA MEDIA DERECHA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA EXTERNA PUERTA MEDIA IZQUIERDA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA INTERNA PUERTA DELANTEA DERECHA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA INTERNA PUERTA DELANTEA IZQUIERDA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA INTERNA PUERTA DELANTERA DERECHA 2013,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA INTERNA PUERTA DELANTERA IZUIERDA 2013,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MANILLA INTERNA PUERTA MEDIA,"manija, agarradera, manilla de puerta"
DONGFENG,MINI,BUS/VAN/TRUCK,MESETA DERECHA,"plato de clutch, meseta de embrague"
DONGFENG,MINI,BUS/VAN/TRUCK,MESETA IZQUIEDA,"plato de clutch, meseta de embrague"
DONGFENG,MINI,BUS/VAN/TRUCK,MOLDURA COMPUERTA TRASERA,"cenefa, adorno lateral"
DONGFENG,MINI,BUS/VAN/TRUCK,MOLDURA TORPEDO,"cenefa, adorno lateral"
DONGFENG,MINI,BUS/VAN/TRUCK,MOTOR COMPLETO,motor completo del vehiculo
DONGFENG,MINI,BUS/VAN/TRUCK,MOTOR COMPLETO GARANTIA CONSECIONARIO,motor completo del vehiculo
DONGFENG,MINI,BUS/VAN/TRUCK,MOTOR ELEVA VIDRIO DERECHO,"motor eleva vidrio, motor de vidrio"
DONGFENG,MINI,BUS/VAN/TRUCK,MOTOR ELEVA VIDRIO IZQUIERDO,"motor eleva vidrio, motor de vidrio"
DONGFENG,MINI,BUS/VAN/TRUCK,MOTOR LIMPIA PARABRISAS,"motor limpiaparabrisas, motor de wiper"
DONGFENG,MINI,BUS/VAN/TRUCK,MOTOR SOPLADOR AIRE ACONDICIONADO,"motor de blower, motor de aire acondicionado"
DONGFENG,MINI,BUS/VAN/TRUCK,MOZO DELANTERO,"rotula, terminal de direccion"
DONGFENG,MINI,BUS/VAN/TRUCK,PARACHOQUE DELANTERO MODELO NUEVO,"parachoques, defensa, bumper, bumera"
DONGFENG,MINI,BUS/VAN/TRUCK,PARRILLA DELANTERA EL PAR,"rejilla frontal, grill"
DONGFENG,MINI,BUS/VAN/TRUCK,PASTILLAS DE FRENO,"balatas, pastilla de freno"
DONGFENG,MINI,BUS/VAN/TRUCK,PILA DE GASOLINA BOSCH 2068 UNIVERSAL,"bateria, acumulador"
DONGFENG,MINI,BUS/VAN/TRUCK,PILA DE GASOLINA MARCA DENSO,"bateria, acumulador"
DONGFENG,MINI,BUS/VAN/TRUCK,PIÑON DE CIGÜEÑAL,"pinon, engranaje piñon"
DONGFENG,MINI,BUS/VAN/TRUCK,PISTON 075/30,"pistones, embolo"
DONGFENG,MINI,BUS/VAN/TRUCK,PISTONES 010/25,"piston, embolos"
DONGFENG,MINI,BUS/VAN/TRUCK,PISTONES 020/50,"piston, embolos"
DONGFENG,MINI,BUS/VAN/TRUCK,PISTONES ESTANDAR,"piston, embolos"
DONGFENG,MINI,BUS/VAN/TRUCK,PLATO DE CORCHET,"plato de embrague, plato de clutch"
DONGFENG,MINI,BUS/VAN/TRUCK,POLEA DE BOMBA DE AGUA,"polea de correa, polea de alternador"
DONGFENG,MINI,BUS/VAN/TRUCK,PUNTA DE EJE TRASERA 25 DIENTES,"punta de eje, terminal de eje"
DONGFENG,MINI,BUS/VAN/TRUCK,RADIADOR,"radiador de agua, panal"
DONGFENG,MINI,BUS/VAN/TRUCK,REGULADOR DE GASOLINA,"regurador, regulador de alternador, regulador de voltaje"
DONGFENG,MINI,BUS/VAN/TRUCK,RELE  LUZ INTERMITENTE,"rele electrico, relay"
DONGFENG,MINI,BUS/VAN/TRUCK,RETROVISOR DERECHO 2012,"espejo, espejo lateral"
DONGFENG,MINI,BUS/VAN/TRUCK,RETROVISOR IZQUIERDO 2012,"espejo, espejo lateral"
DONGFENG,MINI,BUS/VAN/TRUCK,RETROVISOR DERECHO MODELO NUEVO 2013,"espejo, espejo lateral"
DONGFENG,MINI,BUS/VAN/TRUCK,RETROVISOR IZQUIERDO MODELO NUEVO 2013,"espejo, espejo lateral"
DONGFENG,MINI,BUS/VAN/TRUCK,RODAMIENTO DE AMORTIGUADOR,"rolinera, bearing"
DONGFENG,MINI,BUS/VAN/TRUCK,ROLINERA TRASERA,"rodamiento, bearing"
DONGFENG,MINI,BUS/VAN/TRUCK,ROTULA DE DIRECCION,"rotula de suspension, terminal, punta de eje, mozo"
DONGFENG,MINI,BUS/VAN/TRUCK,SELLO DE BUJIAS,"sellos de bujia, empaques de bujia"
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR ARBOL DE LEVA APLICA ZOTYE,sensor de arbol de leva
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR DE GOLPETEO,"sensor de detonacion, sensor knock"
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR DE OXIGENO (CONECTOR BLANCO),"sonda lambda, sensor de oxigeno"
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR DE OXIGENO TRASERO,"sonda lambda, sensor de oxigeno"
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR DE RETROCESO,"sensor de reversa, sensor de retro"
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR DE VELOCIDAD,sensor de velocidad
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR MAP (BOSH),sensor de presion de multiple
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR POCISION DE CIGÜEÑAL,sensor de posicion
DONGFENG,MINI,BUS/VAN/TRUCK,SENSOR TPS APLICA A ZOTYE,sensor de posicion del acelerador
DONGFENG,MINI,BUS/VAN/TRUCK,SILICON MEGA GREY,"sellador, silicona"
DONGFENG,MINI,BUS/VAN/TRUCK,STOP DERECHO MODELO NUEVO,"luz trasera, calavera"
DONGFENG,MINI,BUS/VAN/TRUCK,STOP IZQUIERDO MODELO NUEVO,"luz trasera, calavera"
DONGFENG,MINI,BUS/VAN/TRUCK,SUICHERA DE ENCENDIDO,"switch de encendido, cerradura de arranque"
DONGFENG,MINI,BUS/VAN/TRUCK,TAMBOR DE FRENO,tambor de freno
DONGFENG,MINI,BUS/VAN/TRUCK,TANQUE DE GASOLINA,"deposito, tanque de gasolina"
DONGFENG,MINI,BUS/VAN/TRUCK,TAPA BOMBA DE GASOLINA,tapa de bomba
DONGFENG,MINI,BUS/VAN/TRUCK,TAPA CORREA DE TIEMPO,tapa de correa de tiempo
DONGFENG,MINI,BUS/VAN/TRUCK,TAPA PLASTICA DE AMORTIGUADOR,tapa de plastico
DONGFENG,MINI,BUS/VAN/TRUCK,TAPA VALVULA DE MOTOR,tapa de valvulas del motor
DONGFENG,MINI,BUS/VAN/TRUCK,TENSOR DE TIEMPO,"tensor de correa, polea tensora"
DONGFENG,MINI,BUS/VAN/TRUCK,TERMINAL DE DIRECCION DERECHO,"terminal de direccion, rotula de direccion"
DONGFENG,MINI,BUS/VAN/TRUCK,TERMINAL DE DIRECCION IZQIERDO,"terminal de direccion, rotula de direccion"
DONGFENG,MINI,BUS/VAN/TRUCK,TERMOSTATO,"termotasto, termostato de agua"
DONGFENG,MINI,BUS/VAN/TRUCK,TOMA DE TERMOSTATO,"toma del termostato, carcasa del termostato"
DONGFENG,MINI,BUS/VAN/TRUCK,TOPE GOMA DE AMORTIGUADOR,tope de goma
DONGFENG,MINI,BUS/VAN/TRUCK,TOPE METALICO DE AMORTIGUADOR,tope metalico de amortiguador
DONGFENG,MINI,BUS/VAN/TRUCK,TUBERIA DE AGUA,"tuberia de agua, manguera de agua"
DONGFENG,MINI,BUS/VAN/TRUCK,TUBERIA PRINCIPAL DE AGUA+ CODO,"tuberia principal, manguera principal"
DONGFENG,MINI,BUS/VAN/TRUCK,VALVULA DE TEMPERATURA,valvula de temperatura
DONGFENG,MINI,BUS/VAN/TRUCK,VALVULA IAC (APLICA PARA LA ZOTYE),"valvula de aire de ralenti, iac"
DONGFENG,MINI,BUS/VAN/TRUCK,VALVULA PCV,"valvula pcv, valvula de gases de carter"
DONGFENG,MINI,BUS/VAN/TRUCK,VALVULA PRESION DE ACEITE,valvula de presion de aceite o aire
DONGFENG,MINI,BUS/VAN/TRUCK,VALVULAS DE ADMISION,valvulas de admision del motor
DONGFENG,MINI,BUS/VAN/TRUCK,VALVULAS DE ESCAPE,valvulas de escape del motor
DONGFENG,MINI,BUS/VAN/TRUCK,VOLANTE DE MOTOR,"volante de direccion, volante motor"
DONGFENG,MINI,BUS/VAN/TRUCK,WIPPER  BOMBA LIMPIA PARABISAS,"wiper, limpiaparabrisas, plumilla"
DONGFENG,ZNA,ZNA,ACOPLE DE RUEDA,"acople de rueda, cubo de rueda, maza"
DONGFENG,ZNA,ZNA,ALTERNADOR,"dinamo, generador"
DONGFENG,ZNA,ZNA,AMORTIGUADOR TRASERO 4X2 ACEITE,"suspension, amortiguacion, shock"
DONGFENG,ZNA,ZNA,AMORTIGUADOR TRASERO 4X2,"suspension, amortiguacion, shock"
DONGFENG,ZNA,ZNA,AMORTIGUADORES DELANTERO  4X2,"amortiguador, suspension, shocks"
